Manufacture,Model,Price,Benzine,Chassis,Status
Jeep,Renegade,619,PHEV benzine,SUV,new
Jeep,Compass,619,Benzine,SUV,new
Peugeot,5008,619,Benzine,SUV,new
Seat,Tarraco,624,Benzine,SUV,new
Mercedes-Benz,A-Klasse Limousine,624,PHEV benzine,Sedan,new
Zeekr,X,629,Elektriciteit,SUV,new
Hyundai,Tucson,629,PHEV benzine,SUV,new
Mercedes-Benz,A-klasse hatchback,629,PHEV benzine,Hatchback,new
Volkswagen,Tiguan,629,Benzine,SUV,new
Skoda,Enyaq Coupe,629,Elektriciteit,SUV,new
Hyundai,IONIQ 5,634,Elektriciteit,SUV,new
Kia,Sportage,639,Hybride benzine,SUV,occasion
Nissan,QASHQAI Hybrid,639,Hybride benzine,SUV,new
Mercedes-Benz,EQA,639,Elektriciteit,SUV,new
Cupra,Leon,639,PHEV benzine,Hatchback,new
Mercedes-Benz,B-Klasse,639,Benzine,MPV,new
Volkswagen,Tiguan,649,Benzine,SUV,occasion
Ford,Mustang Mach-E,649,Elektriciteit,SUV,new
Mazda,6,649,Benzine,Sedan,new
Nissan,Ariya,649,Elektriciteit,SUV,new
Alfa Romeo,Tonale,649,Benzine,SUV,new
Volvo,XC40 Recharge,649,Elektriciteit,SUV,new
Mercedes-Benz,B-Klasse,649,PHEV benzine,MPV,new
Mercedes-Benz,CLA Coupe,649,Benzine,Sedan,new
Volvo,XC40,659,Benzine,SUV,occasion
Lexus,UX 250h,659,Hybride benzine,SUV,new
Kia,Sportage,659,PHEV benzine,SUV,new
Peugeot,408,659,PHEV benzine,Hatchback,new
Mercedes-Benz,EQB,664,Elektriciteit,SUV,new
Cupra,Leon Sportstourer,664,PHEV benzine,Stationwagen,new
Jeep,Compass,669,PHEV benzine,SUV,new
Volvo,C40 Recharge,669,Elektriciteit,SUV,new
Mini,Countryman,669,PHEV benzine,Hatchback,new
Mercedes-Benz,CLA Coupe,669,PHEV benzine,Sedan,new
Peugeot,3008,669,PHEV benzine,SUV,new
Cupra,Formentor,669,PHEV benzine,SUV,new
MG,Marvel R,669,Elektriciteit,SUV,new
Toyota,RAV4,679,Hybride benzine,SUV,new
Mazda,6 Sportbreak,684,Benzine,Stationwagen,new
BMW,X1,684,Benzine,SUV,new
Citroen,C5 X,689,PHEV benzine,Hatchback,new
BMW,2 Serie Active Tourer,689,PHEV benzine,MPV,new
Mercedes-Benz,CLA Shooting Brake,689,Benzine,Stationwagen,new
Polestar,2,699,Elektriciteit,Hatchback,new
Peugeot,5008,699,Benzine,SUV,new
Xpeng,P7,699,Elektriciteit,Sedan,new
Audi,Q4 e-tron,709,Elektriciteit,SUV,new
BMW,iX1,714,Elektriciteit,SUV,new
Mercedes-Benz,CLA Shooting Brake,719,PHEV benzine,Stationwagen,new
DS,7,724,PHEV benzine,SUV,new
BMW,X1,729,PHEV benzine,SUV,new
BMW,i4,729,Elektriciteit,Hatchback,new
Nissan,X-Trail Hybrid,729,Hybride benzine,SUV,new
Mazda,CX-60,734,PHEV benzine,SUV,new
VinFast,VF 8,749,Elektriciteit,SUV,new
BMW,3 Serie Touring,754,PHEV benzine,Stationwagen,new
BMW,3 Serie Touring,759,Benzine,Stationwagen,new
Peugeot,508,759,PHEV benzine,Hatchback,new
Subaru,Solterra,769,Elektriciteit,SUV,new
Toyota,RAV4,774,PHEV benzine,SUV,new
Peugeot,508 SW,779,PHEV benzine,Stationwagen,new
Volvo,V60,789,Benzine,Stationwagen,new
Xpeng,G9,799,Elektriciteit,SUV,new
Zeekr,001,829,Elektriciteit,Stationwagen,new
Volvo,V60,844,PHEV benzine,Stationwagen,new
NIO,ET5,859,Elektriciteit,Sedan,new
Kia,EV9,899,Elektriciteit,SUV,new
BMW,ix3,899,Elektriciteit,SUV,new
BMW,X3,899,PHEV benzine,SUV,new
NIO,ET5 Touring,899,Elektriciteit,Stationwagen,new
Lexus,ES 300h,909,Hybride benzine,Sedan,new
NIO,EL6,919,Elektriciteit,SUV,new
Alfa Romeo,Giulia,944,Benzine,Sedan,new
BMW,i5,954,Elektriciteit,Sedan,new
Land Rover,Range Rover Evoque,969,PHEV benzine,SUV,new
Volkswagen,ID. Buzz,1009,Elektriciteit,MPV,new
Volvo,XC60,1019,PHEV benzine,SUV,new
Alfa Romeo,Stelvio,1129,Benzine,SUV,new
